phage_id	H-10	H-118	H-119	H-120	H-124	H-147	H-161	H-169	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	O-90
group	NW	NW	NW	NW	NW	NW	NW	NW	NW	NW	O	O	O	O	O	O	O	O	O	O
ivig_2174	0.292816719	3.356303086	0.403804958	2.284969185	0.28536787	0.255997062	0.565878135	0.461224212	1.27561363	0.438515023	1.287857115	4.054321736	10.93002031	0.940716811	0.523050027	1.036063896	0	1.022701833	0.17278128	0.39498354
ivig_2749	0.216089083	1.246490409	4.92475523	0.192517166	0.108066987	0.166190486	0.118686146	3.896320863	4.780452402	0.119224599	3.25092381	0.405943745	6.863796961	0.619083942	0.484185045	0.206954253	0.556474186	0.18726141	0.72477599	0.724876744
ivig_2899	0.194106886	1.276344702	4.639139075	0.139818073	0.079284098	0.136900276	0.089366364	3.45310255	4.912268762	0.068397561	3.093633448	0.495730766	6.064915019	0.74862632	0.537087711	0.259715078	0.606731081	0.170910364	0.687215599	0.485160798
uvig_851	0.457671739	0.564942284	8.660052126	0.310648459	0.476050404	0.646352078	0.770505952	0.499079211	0.447668004	0.685397794	0.568635756	4.137229915	0.418658487	0.420551665	0.964261171	0.800784922	0.518622822	0.948548688	0.99713233	0.64110275
uvig_861	0.871799729	0.516628415	1.67455371	0.358840169	0.682732252	1.353253045	1.371894102	0.58851315	1.715639782	0.559536666	0.821640353	2.391646754	4.68997142	1.437022461	1.038180409	2.455138104	1.048386744	0.372842202	0.661396688	0.755987007
uvig_1270	9.26037504	66.06708513	96.82816421	52.70482384	1.981597588	0.251096118	8.229798593	3.166760029	14.93438247	0.182475091	68.66035785	67.42411098	26.8062379	11.95856921	0.870607357	0	0.833376374	0.182385943	6.362958205	24.77738288
uvig_4984	0.522497698	1.56282715	5.295994153	1.806541697	0.171857054	0.019577026	0.696723591	0.24690044	0.978144602	0	38.91599414	1.526873069	3.93519161	5.03580229	0.03111075	0.079231571	0.109958099	0	0	7.611868289
uvig_11105	0.121543077	0.371504657	18.89829201	0.175098568	0.044419197	0	1.18030253	0	0.558105615	0.182019885	0.304150116	1.16702075	0	0.214486282	0.21710888	0.184307969	0.12789191	0	0.107577712	0.122963048
uvig_11819	0.30929869	0.276864922	14.21425214	0.122535842	0.282591152	0.278132441	0.627616602	0.146155634	0.284049638	0.555837615	0.299041927	0.490661735	0	0.146950838	0.331494776	0.469020651	0.130181993	0.138891515	0.301136114	0.156456091
