phage_id	H-10	H-118	H-119	H-120	H-124	H-147	H-161	H-169	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	O-90	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55	OMC-64	OMC-87
ivig_2174	6	315	24	130	16	14	40	2	74	6	116	199	113	71	18	14	0	14	4	4	2	619	55	34	2	30	14	4
ivig_2749	38	1004	2512	94	52	78	72	145	2380	14	2513	171	609	401	143	24	93	22	144	63	529	2027	556	35	10	26	38	6
ivig_2899	34	1024	2357	68	38	64	54	128	2436	8	2382	208	536	483	158	30	101	20	136	42	508	2046	576	34	10	32	26	8
uvig_851	26	147	1427	49	74	98	151	6	72	26	142	563	12	88	92	30	28	36	64	18	14	60	64	6	18	74	28	8
uvig_861	14	38	78	16	30	58	76	2	78	6	58	92	38	85	28	26	16	4	12	6	4	124	10	0	14	36	36	4
uvig_1270	152	4967	4610	2402	89	11	466	11	694	2	4954	2651	222	723	24	0	13	2	118	201	278	6381	3651	475	0	49	4	6
uvig_4984	10	137	294	96	9	1	46	1	53	0	3274	70	38	355	1	1	2	0	0	72	218	180	331	76	3	2	0	1
uvig_11105	2	28	902	8	2	0	67	0	26	2	22	46	0	13	6	2	2	0	2	1	822	8	38	2	0	0	0	0
uvig_11819	20	82	2666	22	50	48	140	2	52	24	85	76	0	35	36	20	8	6	22	5	2912	42	33	2	22	28	16	4
uvig_16314	4	27	350	58	2	2	92	0	55	0	54	409	6	102	46	2	8	0	10	8	208	98	161	6	0	22	2	2
uvig_19655	8	375	186	70	10	0	62	0	70	0	334	387	46	89	6	2	2	0	4	43	52	346	386	58	0	11	0	0
uvig_22024	6	161	177	59	32	16	28	2	44	2	755	319	116	922	8	0	4	8	4	15	9	189	61	7	2	10	4	1
uvig_25407	14	613	67	131	28	10	45	4	28	4	3544	80	37	219	10	4	4	2	18	4	7	2912	65	8	2	14	10	0
uvig_31763	4	32	254	72	0	2	9	2	112	0	97	79	5	29	4	2	2	4	2	10	937	79	61	0	0	2	2	0
uvig_32553	6	72	1800	64	6	10	14	0	20	4	94	62	11	31	28	10	4	2	14	4	6	32	93	13	6	10	2	0
uvig_33153	10	64	15	19	44	22	34	0	49	19	265	21	1	36	6	12	10	8	18	14	4	36	10	0	0	20	10	0
uvig_35295	52	1606	643	675	49	16	135	0	133	2	1057	510	83	224	11	2	5	4	15	67	44	1213	832	156	10	31	16	2
