phage_id	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	O-90	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55	OMC-64	OMC-87
group	O	O	O	O	O	O	O	O	O	O	OMC	OMC	OMC	OMC	OMC	OMC	OMC	OMC
ivig_2174	1.287857115	4.054321736	10.93002031	0.940716811	0.523050027	1.036063896	0	1.022701833	0.17278128	0.39498354	0.059558583	8.238048507	0.833936299	1.910036932	0.169028345	1.262698105	0.646009782	0.620231701
ivig_2749	3.25092381	0.405943745	6.863796961	0.619083942	0.484185045	0.206954253	0.556474186	0.18726141	0.72477599	0.724876744	1.835585604	3.143345034	0.982312319	0.229105493	0.098476851	0.127513519	0.204314536	0.108405129
ivig_2899	3.093633448	0.495730766	6.064915019	0.74862632	0.537087711	0.259715078	0.606731081	0.170910364	0.687215599	0.485160798	1.769682996	3.185346856	1.021668673	0.223439098	0.098865997	0.157559886	0.140346573	0.145111343
uvig_851	0.568635756	4.137229915	0.418658487	0.420551665	0.964261171	0.800784922	0.518622822	0.948548688	0.99713233	0.64110275	0.150375999	0.288018958	0.350014705	0.121576665	0.548704064	1.123430271	0.466020711	0.447424832
uvig_861	0.821640353	2.391646754	4.68997142	1.437022461	1.038180409	2.455138104	1.048386744	0.372842202	0.661396688	0.755987007	0.151991194	2.105714342	0.193470281	0	1.509738234	1.933413956	2.119618169	0.791403623
uvig_1270	68.66035785	67.42411098	26.8062379	11.95856921	0.870607357	0	0.833376374	0.182385943	6.362958205	24.77738288	10.33473927	106.0138992	69.10705554	33.31170219	0	2.574629386	0.230415355	1.161410069
uvig_4984	38.91599414	1.526873069	3.93519161	5.03580229	0.03111075	0.079231571	0.109958099	0	0	7.611868289	6.950413074	2.564755457	5.373261094	4.57105242	0.271450446	0.090125571	0	0.166009802
uvig_11105	0.304150116	1.16702075	0	0.214486282	0.21710888	0.184307969	0.12789191	0	0.107577712	0.122963048	30.48188297	0.132580391	0.717479337	0.139909903	0	0	0	0
uvig_11819	0.299041927	0.490661735	0	0.146950838	0.331494776	0.469020651	0.130181993	0.138891515	0.301136114	0.156456091	27.47952343	0.177127687	0.158557793	0.035603796	0.589190437	0.373456283	0.233956172	0.19654293
uvig_16314	0.324568872	4.511197641	0.314193495	0.731651288	0.723655669	0.080129404	0.222408235	0	0.233851472	0.427673565	3.353367177	0.706095079	1.32159832	0.182480941	0	0.501307692	0.049962535	0.167890985
uvig_19655	4.669772875	9.92923289	5.603249433	1.485012679	0.219564222	0.186392356	0.129338273	0	0.217588674	5.347207794	1.950101891	5.798950391	7.370502402	4.103273261	0	0.583056388	0	0
uvig_22024	8.648634577	6.705740141	11.57687697	12.60440591	0.239856567	0	0.211937769	0.602978586	0.178273828	1.528273805	0.276533515	2.595293048	0.954313191	0.405743706	0.174401591	0.434279348	0.190441658	0.159987065
uvig_25407	53.9269449	2.233868127	4.90508639	3.976922085	0.398265911	0.405714853	0.28152688	0.200241184	1.065642694	0.541354074	0.285703008	53.11625874	1.350784152	0.61596388	0.231665814	0.807623079	0.632431466	0
uvig_31763	0.735627669	1.099433216	0.330361294	0.262467288	0.079397594	0.101103253	0.070155882	0.199598659	0.059012406	0.67452125	19.06033726	0.718186796	0.631795681	0	0	0.057502258	0.063040215	0
uvig_32553	0.297539577	0.360133912	0.303348887	0.117103384	0.231972205	0.21099186	0.05856318	0.041654142	0.172413762	0.112612395	0.050941626	0.121420179	0.402031732	0.208215663	0.144573265	0.120001167	0.02631166	0
uvig_33153	2.815658922	0.409457572	0.092569305	0.456486077	0.166857777	0.849892954	0.491452946	0.559287952	0.744104068	1.323035571	0.11399842	0.458522525	0.145109106	0	0	0.805624654	0.441606581	0
uvig_35295	14.13046751	12.51143604	9.667016694	3.5737192	0.384888787	0.178221605	0.309171405	0.35184618	0.780188969	7.966465145	1.577752541	19.43866107	15.19026554	10.55259564	1.017656931	1.571128905	0.889002315	0.373418487
uvig_51406	9.221466449	18.5425289	5.789569051	8.940900135	0.285912289	1.213582633	0.505265404	0.359379336	1.31044643	7.772685444	4.273003634	8.009595949	11.68635015	2.947974173	0	0.310600132	0.605357453	0.254275676
uvig_55294	14.16406395	17.49148355	20.43206447	20.61682778	0.729290104	0.464331461	0.322201138	1.375029005	1.355115478	2.271747418	0.77852529	4.829270434	5.026293056	1.233674245	1.237302627	0.528175042	0.675549925	2.107927534
uvig_55870	0.476016543	0.220588212	0.251345396	10.51816985	0.251696906	0.192303378	0	0.126548834	0.149659345	0.427657571	0.128970837	0.144095648	0.105067241	0.097319529	0.073204318	0.109372133	0.199842667	0
uvig_64107	0.978566873	5.781440029	0.623822077	0.778556463	0.145762051	0.053031537	0.073597518	0	0.123814752	1.132177957	1.024309744	0.696197183	1.032213417	0.925904915	0	0	0	0
uvig_74555	0.338118516	0.072997077	0	0.166153287	0	0	0	0	0.077383262	0.176900617	0.106697611	0.095368297	0.190142224	0.201281186	0	0.075402998	0	0
uvig_74768	4.108641271	0.896711066	6.603093294	0.416543073	0.730836233	0.39884217	0.092252634	0.262465549	0.775993363	1.862642968	0.775717653	0.346675387	0.367726788	75.9435096	0	1.020782824	0.33158308	5.988992099
uvig_75025	0.398266668	1.15718223	1.577190354	5.285875725	0.307982236	0.020111703	0.935023666	0.039704646	0.04695556	0.214683828	0.145672376	0.339978839	0.144221022	0.030533963	0.045935651	0.194454291	0.025080223	0.084278016
uvig_77482	3.676345235	0.530284278	0	0.421496866	0.75633525	1.070112945	0.445532949	1.901361154	1.374138442	1.999024678	0	0.269421869	0.219250858	6.417428699	1.466499445	2.069323092	0.934136211	0
uvig_78016	6.754645002	5.19140057	2.822990543	2.573002507	0.521896346	0.664572003	0.230574357	0.984001578	0.969751011	0.665064562	0.200566853	7.03636165	1.889238196	1.198146708	0.758949852	0.377973899	1.450316006	1.392443255
uvig_83342	6.178520923	8.444610645	19.50767643	4.884225528	2.069929349	4.217288292	0.594423032	3.317309455	3.500039129	2.286057588	0.464031242	9.172114514	2.416673786	2.926264142	2.633858261	3.504166204	2.793925253	1.725833098
uvig_86209	9.768226557	1.075529718	0	0.308360503	0.230926138	0.336064644	0.291495462	0.290264131	0.147116803	0.224209149	0.067615877	0.400390623	0.258205671	0.063777454	0.095947546	0.286704067	0.471474161	0.352069411
uvig_88310	0.600398217	0.801294453	2.021010041	1.156207892	0.535721415	1.637223743	0.252461106	0.718270467	0.849441945	0.728194311	0.219605208	0.572504315	0.204993409	0.483323501	1.869730762	0.827704433	0.453709706	1.52461778
uvig_88880	20.27648512	10.41106855	2.123396906	5.195145116	0.425273302	1.263579845	0.250514925	1.514558559	0.605829875	0.602150652	0.254231026	22.63436756	0.286627619	0.411083692	0.824585475	0.76999106	0.956700783	0.189108094
uvig_92124	8.641620328	6.489961832	1.741546405	2.367224462	0.64393181	0	0.071122438	0	1.076857839	3.419071547	0	4.681840195	9.114001411	6.06885308	0	0.466355856	0.511269893	0
uvig_92258	2.177287252	2.340613464	6.641383463	1.611366934	2.490741696	3.653219691	1.797532152	4.065063032	3.508648567	3.722398745	0.334101919	1.546885114	18.49457012	3.353042738	2.654924554	3.909968151	3.147597899	1.530880355
uvig_93945	1.087888911	0.438226507	10.05594254	0.221661158	0	0	0.490917435	0	0	0.471997831	0.284685504	0.222650019	0.543566206	0.268524455	0	0	0	0
uvig_98139	0.825365657	0.534569485	0.2114951	1.34713554	0.031768632	0	0.449133284	0	0.283345118	0.215912005	0.358125161	2.342541863	0.480724189	0.122834576	0	0	0	0
uvig_98366	10.91909537	0.17701782	0	0.169482858	0	0.035722172	0	0	0	0	0	0.070665222	0.076849109	0.081351104	0.040795184	0	0	0
uvig_99078	4.45411028	2.655622231	1.033436644	4.805976763	0.589882696	1.581356659	0.713250604	1.560961983	0.553808061	1.371524882	0.270442298	13.38026303	0.372597002	0.120042263	1.26415088	1.124241505	0.887411179	0.497000191
uvig_99689	1.619728593	2.946413027	1.025549548	0.584397042	0.529923639	0.125543031	0.217786812	0.495695635	0.403026395	1.758905111	13.19789792	2.669739888	18.80276294	0.262077445	0.143371771	0.285609317	0.117418472	0.263043802
uvig_105790	2.168495169	4.029737858	0.119573297	7.468907457	0.43106588	1.006335675	0.63481787	0.180610366	0.106796832	0.488281958	0.147253637	2.270410892	0.618551419	0.277788664	0	0	0.3422583	0.191683905
uvig_106252	4.143557422	4.163374082	1.183603812	0.389112899	0.284462184	0	0.251351387	0	0.211427034	5.679115412	1.020319583	5.048463486	12.91347892	1.512339719	0	0	0.564644222	1.328176643
uvig_106649	0.563578648	0.53400538	0.256735497	0.457180084	0.231385091	0.049106831	0.034075393	0	0.200640286	1.048388848	17.29043092	2.035579314	0.186133833	0.074554909	0	0.055858809	0.183715463	0.102890996
uvig_108334	0.771578587	11.50426765	0.270089369	0.246646105	0.360622791	0.298486238	0.15932353	0.181314878	0.321640251	0.367639959	2.494598063	0.276650178	1.655904581	0.06971806	0.314653992	0.443996602	0.085898339	0.288647417
uvig_110632	2.593695544	0.880977516	3.761497233	0.697895838	1.049913447	1.116799655	0.78240243	0.80559733	0.896305704	0.745084927	1.045714558	3.203786073	1.122079923	0.440189861	0.564119098	0.635177405	0.562436856	0.269996816
uvig_111515	0.241369207	7.862047458	4.626338186	4.968917957	0	0	0.893140168	0	0.28172807	42.50659993	1.877519815	1.38882365	0.065928372	0.244267121	0.183739155	0.183012368	0	0
