phage_id	H-10	H-118	H-119	H-120	H-124	H-147	H-161	H-169	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	O-90	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55	OMC-64	OMC-87
group	NW	NW	NW	NW	NW	NW	NW	NW	NW	NW	O	O	O	O	O	O	O	O	O	O	OMC	OMC	OMC	OMC	OMC	OMC	OMC	OMC
ivig_2174	0.000423881	0.004858584	0.000584548	0.003307721	0.000413099	0.000370581	0.000819165	0.000667668	0.001846578	0.000634794	0.001864302	0.005869036	0.015822297	0.001361782	0.000757167	0.001499806	0	0.001480463	0.000250118	0.000571778	8.6217E-05	0.011925399	0.001207206	0.002764969	0.000244685	0.001827882	0.000935164	0.000897847
ivig_2749	0.002684583	0.015485774	0.061182697	0.002391737	0.00134257	0.002064668	0.001474497	0.048405942	0.05938995	0.001481187	0.040387852	0.005043242	0.085272382	0.007691189	0.006015273	0.002571096	0.006913357	0.002326442	0.009004255	0.009005506	0.022804398	0.039051347	0.012203757	0.002846292	0.001223427	0.001584164	0.002538302	0.001346771
ivig_2899	0.002401995	0.015794255	0.05740749	0.001730193	0.000981109	0.001694086	0.001105873	0.042730763	0.060787361	0.000846392	0.038282476	0.00613447	0.075050897	0.009263951	0.006646246	0.00321387	0.007508054	0.002114947	0.008504018	0.006003671	0.021899119	0.039417393	0.012642741	0.002764969	0.001223427	0.001949741	0.001736733	0.001795695
uvig_851	0.00183682	0.002267339	0.034756253	0.001246757	0.001910581	0.002594069	0.003092349	0.002003005	0.001796671	0.002750776	0.002282163	0.016604359	0.001680244	0.001687842	0.003869966	0.00321387	0.002081441	0.003806905	0.004001891	0.002573002	0.000603519	0.001155935	0.001404749	0.000487936	0.002202169	0.004508775	0.001870328	0.001795695
uvig_861	0.000989057	0.000586115	0.001899781	0.000407104	0.00077456	0.001535266	0.001556414	0.000667668	0.001946393	0.000634794	0.000932151	0.002713323	0.005320773	0.001630302	0.001177816	0.002785354	0.001189395	0.000422989	0.000750355	0.000857667	0.000172434	0.002388933	0.000219492	0	0.001712798	0.002193458	0.002404707	0.000897847
uvig_1270	0.010738331	0.076611392	0.112281939	0.061116514	0.002297861	0.000291171	0.009543274	0.003672175	0.01731791	0.000211598	0.079618551	0.078184999	0.031084513	0.013867157	0.001009556	0	0.000966383	0.000211495	0.007378486	0.028731853	0.011984164	0.122933718	0.080136542	0.03862825	0	0.00298554	0.00026719	0.001346771
uvig_4984	0.000706469	0.002113099	0.007160714	0.002442625	0.000232368	2.64701E-05	0.00094204	0.000333834	0.001322549	0	0.052618316	0.002064485	0.005320773	0.006808908	4.20648E-05	0.000107129	0.000148674	0	0	0.010292007	0.009397654	0.003467806	0.007265186	0.00618052	0.000367028	0.000121859	0	0.000224462
uvig_11105	0.000141294	0.000431874	0.021969264	0.000203552	5.16373E-05	0	0.001372102	0	0.000648798	0.000211598	0.000353575	0.001356662	0	0.00024934	0.000252389	0.000214258	0.000148674	0	0.000125059	0.000142945	0.035435189	0.000154125	0.00083407	0.000162645	0	0	0	0
uvig_11819	0.001412938	0.001264774	0.064933547	0.000559768	0.001290933	0.001270565	0.002867078	0.000667668	0.001297596	0.002539177	0.001366083	0.002241441	0	0.000671301	0.001514334	0.00214258	0.000594697	0.000634484	0.00137565	0.000714723	0.125531959	0.000809155	0.000724324	0.000162645	0.00269154	0.001706023	0.001068759	0.000897847
uvig_16314	0.000282588	0.00041645	0.008524659	0.001475753	5.16373E-05	5.29402E-05	0.00188408	0	0.001372457	0	0.000867865	0.012062491	0.000840122	0.001956362	0.001934983	0.000214258	0.000594697	0	0.000625295	0.001143556	0.008966568	0.001888028	0.003533822	0.000487936	0	0.001340447	0.000133595	0.000448924
