phage_id	H-10	H-118	H-119	H-120	H-124	H-147	H-161	H-169	H-193	H-314	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55	OMC-64	OMC-87
group	NW	NW	NW	NW	NW	NW	NW	NW	NW	NW	OMC	OMC	OMC	OMC	OMC	OMC	OMC	OMC
ivig_2174	0.292816719	3.356303086	0.403804958	2.284969185	0.28536787	0.255997062	0.565878135	0.461224212	1.27561363	0.438515023	0.059558583	8.238048507	0.833936299	1.910036932	0.169028345	1.262698105	0.646009782	0.620231701
ivig_2749	0.216089083	1.246490409	4.92475523	0.192517166	0.108066987	0.166190486	0.118686146	3.896320863	4.780452402	0.119224599	1.835585604	3.143345034	0.982312319	0.229105493	0.098476851	0.127513519	0.204314536	0.108405129
ivig_2899	0.194106886	1.276344702	4.639139075	0.139818073	0.079284098	0.136900276	0.089366364	3.45310255	4.912268762	0.068397561	1.769682996	3.185346856	1.021668673	0.223439098	0.098865997	0.157559886	0.140346573	0.145111343
uvig_851	0.457671739	0.564942284	8.660052126	0.310648459	0.476050404	0.646352078	0.770505952	0.499079211	0.447668004	0.685397794	0.150375999	0.288018958	0.350014705	0.121576665	0.548704064	1.123430271	0.466020711	0.447424832
uvig_861	0.871799729	0.516628415	1.67455371	0.358840169	0.682732252	1.353253045	1.371894102	0.58851315	1.715639782	0.559536666	0.151991194	2.105714342	0.193470281	0	1.509738234	1.933413956	2.119618169	0.791403623
uvig_1270	9.26037504	66.06708513	96.82816421	52.70482384	1.981597588	0.251096118	8.229798593	3.166760029	14.93438247	0.182475091	10.33473927	106.0138992	69.10705554	33.31170219	0	2.574629386	0.230415355	1.161410069
uvig_4984	0.522497698	1.56282715	5.295994153	1.806541697	0.171857054	0.019577026	0.696723591	0.24690044	0.978144602	0	6.950413074	2.564755457	5.373261094	4.57105242	0.271450446	0.090125571	0	0.166009802
uvig_11105	0.121543077	0.371504657	18.89829201	0.175098568	0.044419197	0	1.18030253	0	0.558105615	0.182019885	30.48188297	0.132580391	0.717479337	0.139909903	0	0	0	0
uvig_11819	0.30929869	0.276864922	14.21425214	0.122535842	0.282591152	0.278132441	0.627616602	0.146155634	0.284049638	0.555837615	27.47952343	0.177127687	0.158557793	0.035603796	0.589190437	0.373456283	0.233956172	0.19654293
uvig_16314	0.105683704	0.155746321	3.188099465	0.551910177	0.019311611	0.019798868	0.704618697	0	0.513279045	0	3.353367177	0.706095079	1.32159832	0.182480941	0	0.501307692	0.049962535	0.167890985
uvig_19655	0.491670561	5.031778151	3.941059103	1.549439539	0.224607725	0	1.10457246	0	1.519585252	0	1.950101891	5.798950391	7.370502402	4.103273261	0	0.583056388	0	0
uvig_22024	0.302125077	1.769976083	3.072731232	1.069990472	0.588878871	0.301868524	0.408706794	0.475886079	0.782584084	0.150818329	0.276533515	2.595293048	0.954313191	0.405743706	0.174401591	0.434279348	0.190441658	0.159987065
uvig_25407	0.936429458	8.951864591	1.545032498	3.15580894	0.684455997	0.250616325	0.872524936	1.2642836	0.661527456	0.400678121	0.285703008	53.11625874	1.350784152	0.61596388	0.231665814	0.807623079	0.632431466	0
uvig_31763	0.133346383	0.232904149	2.919246382	0.864462425	0	0.024981216	0.086972521	0.315056705	1.318809549	0	19.06033726	0.718186796	0.631795681	0	0	0.057502258	0.063040215	0
uvig_32553	0.083483965	0.218720913	8.634557894	0.320718613	0.030510093	0.052133171	0.056467447	0	0.09829346	0.083349004	0.050941626	0.121420179	0.402031732	0.208215663	0.144573265	0.120001167	0.02631166	0
uvig_33153	0.467056154	0.652612024	0.241532815	0.319606111	0.751038578	0.384994127	0.460326861	0	0.808365909	1.328958152	0.11399842	0.458522525	0.145109106	0	0	0.805624654	0.441606581	0
uvig_35295	3.05576403	20.60478134	13.02696447	14.2860649	1.052332592	0.352288753	2.299686002	0	2.760647289	0.17600908	1.577752541	19.43866107	15.19026554	10.55259564	1.017656931	1.571128905	0.889002315	0.373418487
uvig_51406	0.800304886	18.50365092	16.12708105	6.73030473	0.760447588	0.299859487	3.758276992	1.134525351	7.999902886	0.119851666	4.273003634	8.009595949	11.68635015	2.947974173	0	0.310600132	0.605357453	0.254275676
uvig_55294	1.786203845	1.894165383	5.823804051	2.92248624	1.417480321	1.032568948	1.346240558	3.13504522	1.153681054	1.06998975	0.77852529	4.829270434	5.026293056	1.233674245	1.237302627	0.528175042	0.675549925	2.107927534
uvig_55870	0.295903304	0.784470648	0.473642778	0.114184042	0.339871639	0.229658277	0.287963829	0.199751135	0.291158315	0.158263363	0.128970837	0.144095648	0.105067241	0.097319529	0.073204318	0.109372133	0.199842667	0
uvig_64107	0.069943977	0.305412154	2.531951634	1.914504048	0.025561762	0	0.740050725	0.330512434	0.518814885	0	1.024309744	0.696197183	1.032213417	0.925904915	0	0	0	0
uvig_74555	0.087428889	0.439024538	0.241135267	0.188928982	0	0	1.292538352	139.4332077	0.401458931	0	0.106697611	0.095368297	0.190142224	0.201281186	0	0.075402998	0	0
uvig_74768	10.03855998	16.51896091	2.705233467	93.78097767	0.432553839	0	3.71053976	0.41428901	1.08386898	0	0.775717653	0.346675387	0.367726788	75.9435096	0	1.020782824	0.33158308	5.988992099
uvig_75025	0.092839544	0.138989564	0.800182023	0.191067721	0.058164322	0.069570531	0.10764932	57.03137343	2.033140995	0.079448107	0.145672376	0.339978839	0.144221022	0.030533963	0.045935651	0.194454291	0.025080223	0.084278016
