phage_id	H-10	H-118	H-119	H-120	H-124	H-147	H-161	H-169	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	O-90	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55	OMC-64	OMC-87
ivig_601	18	396	779	47	26	42	50	40	755	8	1048	65	189	143	45	16	43	10	57	29	165	635	189	13	10	12	18	6
ivig_1166	45	440	819	96	54	38	96	49	1017	2	875	190	199	305	71	14	47	12	47	12	238	656	181	27	8	26	20	6
ivig_2174	6	193	24	128	16	14	40	2	74	6	116	199	112	71	14	14	0	14	4	4	2	619	55	32	2	30	14	4
ivig_2749	16	490	1204	41	30	20	32	82	1193	4	1035	92	323	234	63	8	40	10	78	28	288	999	331	22	6	20	18	2
ivig_2899	16	483	1171	29	34	28	38	46	1321	2	1029	87	284	195	66	18	41	6	71	30	249	1077	314	16	10	14	26	2
ivig_3353	4	494	687	45	33	40	138	46	636	4	1655	111	134	283	49	27	82	12	51	34	155	531	197	67	6	18	12	2
uvig_851	26	147	1427	49	74	98	151	6	72	24	138	563	12	88	92	30	28	36	64	18	14	60	64	6	18	74	28	8
uvig_861	14	38	78	16	30	58	76	2	78	6	58	92	38	85	28	26	16	4	12	6	4	124	10	0	14	36	36	4
uvig_1270	152	4923	4575	2383	87	11	459	11	688	2	4917	2633	216	709	24	0	12	2	117	196	275	6351	3609	474	0	49	4	6
uvig_4984	10	137	294	96	9	1	46	1	53	0	3274	68	38	353	1	0	0	0	0	72	218	178	331	76	3	2	0	1
uvig_8544	2	1066	47	16	2	12	338	124	37	33	101	52	3	2336	16	0	92	2	23	0	10	41	14	4	0	32	2	0
uvig_10847	2	29	743	2	5	6	19	1	13	2	20	16	0	15	22	0	2	0	4	0	949	8	13	5	0	2	2	0
uvig_11105	2	28	896	8	2	0	68	0	26	2	24	36	0	13	8	2	2	0	2	1	821	10	18	2	0	0	0	0
uvig_11819	20	76	2570	22	50	48	139	2	46	24	71	71	0	33	28	22	6	6	22	3	2865	40	11	2	20	28	16	4
uvig_16065	8	44	95	38	23	18	25	0	22	0	386	180	85	514	6	0	0	6	4	4	10	96	35	8	2	6	6	2
uvig_16314	4	25	318	52	0	2	87	0	55	0	54	330	6	102	46	0	6	0	10	8	211	98	135	6	0	22	4	2
uvig_19655	8	373	186	70	10	0	62	0	72	0	334	387	46	89	6	2	2	0	4	43	50	346	386	58	0	11	0	0
uvig_24707	10	24	38	20	30	24	32	0	36	24	44	347	0	4202	8	12	8	8	6	2	6	129	28	2	12	18	4	4
uvig_25407	14	613	67	129	28	10	45	4	28	4	3545	80	37	220	10	4	4	2	18	4	7	2910	65	8	2	14	10	0
uvig_31763	2	32	218	72	0	2	11	2	112	0	93	79	5	27	4	2	2	4	2	10	870	79	61	0	0	0	0	2
uvig_32553	6	72	1697	64	6	10	14	0	20	4	94	62	11	31	28	10	4	2	14	4	6	28	40	13	6	10	2	0
uvig_33153	10	64	15	19	44	22	34	0	49	19	265	21	1	36	6	12	10	8	18	14	4	36	10	0	0	20	10	0
uvig_35295	49	1488	568	619	49	16	131	0	125	2	961	455	78	210	11	2	5	4	15	63	38	1113	715	142	10	31	16	2
uvig_38845	6	14	51	29	20	0	19	0	8	0	226	118	39	285	4	0	2	2	0	8	5	56	15	0	2	8	8	0
uvig_51406	20	2118	1169	467	52	20	322	6	566	2	1011	1110	73	823	12	20	12	6	37	96	173	734	940	64	0	9	16	2
uvig_55294	11	113	194	117	32	22	48	8	21	4	799	527	140	940	14	4	0	4	18	14	13	259	242	16	4	2	6	6
uvig_55870	14	171	65	14	44	29	47	2	39	5	99	25	6	1833	20	6	0	4	8	10	10	25	16	4	2	6	10	0
uvig_58357	11	90	701	570	24	28	580	6	115	6	303	247	33	295	18	20	3	4	20	20	916	636	1000	55	0	8	6	4
uvig_59859	13	639	513	1243	15	5	30	0	114	0	533	1193	44	107	2	0	4	2	19	49	54	812	589	88	1	16	0	0
uvig_64107	2	38	169	152	2	0	73	0	40	0	123	368	9	80	7	1	2	0	4	16	48	73	94	22	0	0	0	0
uvig_73872	26	247	229	100	42	60	89	2	63	14	365	137	163	182	12	24	3	14	38	6	5	239	204	15	10	22	16	2
uvig_74555	2	46	16	12	0	0	102	675	26	0	34	4	0	14	0	0	0	0	2	2	4	8	14	4	0	2	0	0
uvig_74768	204	1544	149	5562	19	0	237	2	65	0	391	44	68	32	28	6	2	4	20	21	29	27	15	1370	0	25	8	43
uvig_75025	7	48	175	40	12	14	28	910	434	4	132	209	60	1469	39	1	67	2	4	2	18	94	35	2	2	17	2	2
uvig_76269	4	345	400	372	6	2	196	2	201	0	371	229	17	279	7	2	4	0	12	36	61	259	254	51	0	13	10	0
uvig_77482	18	16	10	20	36	28	66	2	162	6	229	18	0	20	18	10	6	18	22	14	0	14	10	79	12	34	14	0
uvig_78016	24	296	333	196	40	28	56	4	64	4	542	227	26	173	16	8	4	12	20	6	6	471	111	19	8	8	28	8
uvig_83342	110	1141	193	713	314	392	456	16	692	100	1248	927	453	824	158	128	26	102	182	52	35	1544	358	117	70	185	136	25
uvig_86209	4	20	25	12	24	32	32	0	10	4	1084	69	0	26	14	8	6	7	6	4	4	43	16	0	2	10	10	4
uvig_87564	6	406	4	71	10	16	18	1	9	6	1450	396	20	215	0	12	6	14	10	0	0	1434	2	0	10	18	2	0
uvig_88310	10	109	184	36	34	54	62	0	35	12	44	32	17	71	15	18	4	8	16	6	6	35	11	7	18	16	8	8
uvig_88880	8	564	38	74	26	28	34	1	24	10	2048	572	20	458	26	18	2	22	17	10	14	1899	29	12	6	19	34	2
uvig_89263	10	3039	26	1066	26	28	70	8	34	0	100	182	49	105	8	6	4	10	16	8	4	238	49	22	6	4	4	2
uvig_90482	8	32	592	58	4	4	26	0	63	0	69	215	17	91	14	2	0	2	4	3	596	187	56	15	0	4	0	0
uvig_92124	18	712	352	194	4	10	23	2	101	0	562	230	13	129	16	0	1	0	18	25	0	254	432	78	0	8	8	0
uvig_92258	129	1742	1282	706	204	239	259	6	176	46	306	204	59	161	104	58	44	66	101	52	21	194	1741	84	52	126	92	14
uvig_92540	141	588	803	221	360	433	7514	30	435	104	614	318	62	587	205	125	62	108	125	32	124	284	220	31	115	139	96	30
uvig_93945	5	586	8	14	0	6	6	18	7	0	82	18	87	14	0	0	8	0	0	4	8	14	30	4	0	0	0	0
uvig_97882	107	585	777	1489	86	24	405	31	183	0	295	259	44	345	14	0	14	0	2	72	56	67	75	1060	0	10	4	2
uvig_98139	1	12	122	31	2	0	0	0	146	0	68	24	2	93	1	0	8	0	6	2	11	161	29	2	0	0	0	0
uvig_98366	16	42	32	40	0	0	10	0	14	0	4075	36	0	53	0	2	0	0	0	0	0	22	21	6	2	0	0	0
