phage_id	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	O-90	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55	OMC-64	OMC-87
group	O	O	O	O	O	O	O	O	O	O	OMC	OMC	OMC	OMC	OMC	OMC	OMC	OMC
ivig_601	1.403887835	0.159786442	2.205798135	0.228611477	0.157777356	0.142869631	0.266432596	0.088141905	0.297079707	0.345524176	0.592870363	1.019691636	0.345774871	0.08811861	0.101974358	0.060942597	0.100217831	0.112255248
ivig_1166	1.145575169	0.45648297	2.269872418	0.476547551	0.243295972	0.122177824	0.284617217	0.103373231	0.23940896	0.139735289	0.835789987	1.029540371	0.323634349	0.17886792	0.079730663	0.129049839	0.108829567	0.109711225
ivig_2174	1.287857115	4.054321736	10.83329446	0.940716811	0.406816687	1.036063896	0	1.022701833	0.17278128	0.39498354	0.059558583	8.238048507	0.833936299	1.797681819	0.169028345	1.262698105	0.646009782	0.620231701
ivig_2749	1.338920073	0.218402483	3.640404628	0.361260953	0.213312292	0.068984751	0.239343736	0.085118823	0.392586995	0.322167442	0.99933583	1.549186822	0.584793844	0.144009167	0.059086111	0.098087323	0.09678057	0.036135043
ivig_2899	1.336418479	0.207348926	3.213499749	0.30224044	0.224353094	0.155829047	0.246296775	0.051273109	0.358766967	0.346543427	0.867423358	1.676744166	0.556951325	0.105147811	0.098865997	0.06893245	0.140346573	0.036277836
ivig_3353	1.98160177	0.243891578	1.397835335	0.4043856	0.153559077	0.215491904	0.454129806	0.094538985	0.23758311	0.362081732	0.497799837	0.762143776	0.322140335	0.405925506	0.054687678	0.081707039	0.059717414	0.033445112
uvig_851	0.552617848	4.137229915	0.418658487	0.420551665	0.964261171	0.800784922	0.518622822	0.948548688	0.99713233	0.64110275	0.150375999	0.288018958	0.350014705	0.121576665	0.548704064	1.123430271	0.466020711	0.447424832
uvig_861	0.821640353	2.391646754	4.68997142	1.437022461	1.038180409	2.455138104	1.048386744	0.372842202	0.661396688	0.755987007	0.151991194	2.105714342	0.193470281	0	1.509738234	1.933413956	2.119618169	0.791403623
uvig_1270	68.1475534	66.96630865	26.08174499	11.72700632	0.870607357	0	0.769270499	0.182385943	6.309034831	24.16103007	10.22321331	105.5154794	68.31206887	33.24157229	0	2.574629386	0.230415355	1.161410069
uvig_4984	38.91599414	1.483248124	3.93519161	5.007431573	0.03111075	0	0	0	0	7.611868289	6.950413074	2.536258174	5.373261094	4.57105242	0.271450446	0.090125571	0	0.166009802
uvig_8544	0.364491946	0.344370029	0.094323661	10.06074785	0.151128919	0	1.535685067	0.047490623	0.322939673	0	0.09679908	0.177367654	0.069000954	0.073043186	0	0.437809441	0.029998388	0
uvig_10847	0.099271556	0.145737145	0	0.088853995	0.285810742	0	0.045916905	0	0.077247037	0	12.63472274	0.047600205	0.088124909	0.125579282	0	0.037635129	0.041259712	0
uvig_11105	0.331800126	0.913320587	0	0.214486282	0.289478507	0.184307969	0.12789191	0	0.107577712	0.122963048	30.44480039	0.165725489	0.339858633	0.139909903	0	0	0	0
uvig_11819	0.249787963	0.458381358	0	0.138553647	0.257829271	0.515922716	0.097636495	0.138891515	0.301136114	0.093873655	27.0360009	0.168693035	0.052852598	0.035603796	0.53562767	0.373456283	0.233956172	0.19654293
uvig_16065	4.948648284	4.234744663	9.49403967	7.864176758	0.201331424	0	0	0.50612972	0.199519927	0.456108945	0.343877651	1.475348162	0.612812794	0.518970206	0.19518621	0.291621215	0.319706819	0.358107614
uvig_16314	0.324568872	3.639841618	0.314193495	0.731651288	0.723655669	0	0.166806177	0	0.233851472	0.427673565	3.40173305	0.706095079	1.108172504	0.182480941	0	0.501307692	0.09992507	0.167890985
uvig_19655	4.669772875	9.92923289	5.603249433	1.485012679	0.219564222	0.186392356	0.129338273	0	0.217588674	5.347207794	1.875097972	5.798950391	7.370502402	4.103273261	0	0.583056388	0	0
uvig_24707	0.390495897	5.651304572	0	44.50519519	0.185829568	0.709894573	0.328398797	0.467159399	0.207177244	0.157871272	0.142830092	1.372389896	0.339376937	0.089814602	0.810708816	0.605626521	0.147545224	0.495801762
uvig_25407	53.94216131	2.233868127	4.90508639	3.995081546	0.398265911	0.405714853	0.28152688	0.200241184	1.065642694	0.541354074	0.285703008	53.07977779	1.350784152	0.61596388	0.231665814	0.807623079	0.632431466	0
uvig_31763	0.705292508	1.099433216	0.330361294	0.244366095	0.079397594	0.101103253	0.070155882	0.199598659	0.059012406	0.67452125	17.69743161	0.718186796	0.631795681	0	0	0	0	0.211836403
uvig_32553	0.297539577	0.360133912	0.303348887	0.117103384	0.231972205	0.21099186	0.05856318	0.041654142	0.172413762	0.112612395	0.050941626	0.106242657	0.172916874	0.208215663	0.144573265	0.120001167	0.02631166	0
uvig_33153	2.815658922	0.409457572	0.092569305	0.456486077	0.166857777	0.849892954	0.491452946	0.559287952	0.744104068	1.323035571	0.11399842	0.458522525	0.145109106	0	0	0.805624654	0.441606581	0
uvig_35295	12.84709487	11.16216353	9.08466629	3.35036175	0.384888787	0.178221605	0.309171405	0.35184618	0.780188969	7.490855285	1.362604467	17.83613336	13.05413444	9.605567827	1.017656931	1.571128905	0.889002315	0.373418487
uvig_38845	3.079157773	2.950264484	4.629359874	4.634034117	0.142641049	0	0.126037933	0.179293607	0	0.969444172	0.182725086	0.914609132	0.279109911	0	0.207430851	0.413220702	0.453017372	0
uvig_51406	9.203260197	18.5425289	5.789569051	8.940900135	0.285912289	1.213582633	0.505265404	0.359379336	1.31044643	7.772685444	4.224169307	8.009595949	11.68635015	2.947974173	0	0.310600132	0.605357453	0.254275676
uvig_55294	9.276300896	11.22778542	14.16083676	13.02407131	0.425419228	0.309554307	0	0.305562001	0.813069287	1.445657448	0.404833151	3.604556319	3.837107002	0.939942282	0.353515036	0.088029174	0.289521396	0.972889631
uvig_55870	0.476016543	0.220588212	0.251345396	10.51816985	0.251696906	0.192303378	0	0.126548834	0.149659345	0.427657571	0.128970837	0.144095648	0.105067241	0.097319529	0.073204318	0.109372133	0.199842667	0
uvig_58357	0.808340437	1.209216516	0.767005448	0.939213996	0.12568551	0.355656282	0.037018661	0.07021388	0.207591074	0.474559843	6.554684889	2.03391498	3.643444616	0.742450529	0	0.080911499	0.066527973	0.149037633
uvig_59859	1.948755847	8.004350667	1.401573029	0.466879563	0.019139088	0	0.067645356	0.048114007	0.270278081	1.593439638	0.529576433	3.55885468	2.941074414	1.628043668	0.027832363	0.221778165	0	0
uvig_64107	0.978566873	5.37265134	0.623822077	0.759567281	0.145762051	0.053031537	0.073597518	0	0.123814752	1.132177957	1.024309744	0.696197183	1.021348012	0.88564818	0	0	0	0
uvig_73872	5.329447213	3.670838758	20.73527205	3.171403873	0.458597389	2.335873685	0.202608811	1.345019691	2.15873782	0.779201653	0.195823123	4.183224812	4.067990818	1.108239728	1.111499193	1.21781288	0.970980815	0.407852917
uvig_74555	0.338118516	0.072997077	0	0.166153287	0	0	0	0	0.077383262	0.176900617	0.106697611	0.095368297	0.190142224	0.201281186	0	0.075402998	0	0
