phage_id	H-10	H-118	H-119	H-120	H-124	H-147	H-161	H-169	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	O-90	OMC-124	OMC-125	OMC-126	OMC-288	OMC-446	OMC-55	OMC-64	OMC-87
group	NW	NW	NW	NW	NW	NW	NW	NW	NW	NW	O	O	O	O	O	O	O	O	O	O	OMC	OMC	OMC	OMC	OMC	OMC	OMC	OMC
ivig_601	0.001271644	0.006107935	0.018973456	0.001195869	0.000671285	0.001111744	0.001023956	0.013353363	0.018840089	0.000846392	0.016843004	0.001917022	0.026463843	0.002742743	0.001892918	0.001714064	0.003196498	0.001057474	0.003564184	0.004145392	0.007112903	0.012233648	0.004148399	0.001057194	0.001223427	0.000731153	0.001202353	0.001346771
ivig_1166	0.003179111	0.006786594	0.019947702	0.002442625	0.001394208	0.001005864	0.001965996	0.01635787	0.025377975	0.000211598	0.014062623	0.005603602	0.027864046	0.005849907	0.002986604	0.001499806	0.003493847	0.001268968	0.002938889	0.001715335	0.010259824	0.012638226	0.003972806	0.002195711	0.000978742	0.001584164	0.001335948	0.001346771
ivig_2174	0.000423881	0.002976847	0.000584548	0.003256833	0.000413099	0.000370581	0.000819165	0.000667668	0.001846578	0.000634794	0.001864302	0.005869036	0.015682277	0.001361782	0.000588908	0.001499806	0	0.001480463	0.000250118	0.000571778	8.6217E-05	0.011925399	0.001207206	0.002602324	0.000244685	0.001827882	0.000935164	0.000897847
ivig_2749	0.001130351	0.007557798	0.029324828	0.001043204	0.00077456	0.000529402	0.000655332	0.027374395	0.029769836	0.000423196	0.016634074	0.002713323	0.045226567	0.004488125	0.002650085	0.000857032	0.002973487	0.001057474	0.004877305	0.004002447	0.012415249	0.019246322	0.007265186	0.001789098	0.000734056	0.001218588	0.001202353	0.000448924
ivig_2899	0.001130351	0.007449829	0.028521074	0.000737876	0.000877834	0.000741163	0.000778207	0.015356368	0.032963918	0.000211598	0.016537644	0.00256586	0.039765774	0.003740105	0.00277628	0.001928322	0.003047824	0.000634484	0.004439598	0.004288336	0.010734017	0.020749038	0.00689205	0.001301162	0.001223427	0.000853011	0.001736733	0.000448924
ivig_3353	0.000282588	0.007619494	0.016732688	0.00114498	0.000852016	0.001058804	0.00282612	0.015356368	0.015870592	0.000423196	0.026598446	0.003273683	0.018762724	0.005427947	0.002061177	0.002892483	0.006095648	0.001268968	0.003189007	0.004860114	0.006681818	0.010230027	0.004323993	0.005448616	0.000734056	0.001096729	0.000801569	0.000448924
uvig_851	0.00183682	0.002267339	0.034756253	0.001246757	0.001910581	0.002594069	0.003092349	0.002003005	0.001796671	0.002539177	0.002217876	0.016604359	0.001680244	0.001687842	0.003869966	0.00321387	0.002081441	0.003806905	0.004001891	0.002573002	0.000603519	0.001155935	0.001404749	0.000487936	0.002202169	0.004508775	0.001870328	0.001795695
uvig_861	0.000989057	0.000586115	0.001899781	0.000407104	0.00077456	0.001535266	0.001556414	0.000667668	0.001946393	0.000634794	0.000932151	0.002713323	0.005320773	0.001630302	0.001177816	0.002785354	0.001189395	0.000422989	0.000750355	0.000857667	0.000172434	0.002388933	0.000219492	0	0.001712798	0.002193458	0.002404707	0.000897847
uvig_1270	0.010738331	0.075932733	0.111429473	0.060633078	0.002246223	0.000291171	0.009399921	0.003672175	0.017168187	0.000211598	0.079023903	0.077654132	0.030244391	0.013598637	0.001009556	0	0.000892046	0.000211495	0.007315957	0.02801713	0.011854838	0.12235575	0.079214675	0.038546927	0	0.00298554	0.00026719	0.001346771
