phage_id	H-10	H-118	H-119	H-120	H-124	H-147	H-161	H-169	H-193	H-314	O-121	O-122	O-123	O-152	O-39	O-418	O-420	O-434	O-445	O-90
group	NW	NW	NW	NW	NW	NW	NW	NW	NW	NW	O	O	O	O	O	O	O	O	O	O
ivig_601	0.105993336	0.509104857	1.581463957	0.099677305	0.055952549	0.092665414	0.085348199	1.113021436	1.570347685	0.070547991	1.403887835	0.159786442	2.205798135	0.228611477	0.157777356	0.142869631	0.266432596	0.088141905	0.297079707	0.345524176
ivig_1166	0.258978064	0.552852326	1.624987979	0.198982129	0.11357551	0.081940081	0.160154815	1.332551577	2.067351055	0.017237293	1.145575169	0.45648297	2.269872418	0.476547551	0.243295972	0.122177824	0.284617217	0.103373231	0.23940896	0.139735289
ivig_2174	0.292816719	2.056401573	0.403804958	2.249815813	0.28536787	0.255997062	0.565878135	0.461224212	1.27561363	0.438515023	1.287857115	4.054321736	10.83329446	0.940716811	0.406816687	1.036063896	0	1.022701833	0.17278128	0.39498354
ivig_2749	0.090984877	0.608346913	2.360432045	0.083970253	0.062346339	0.042612945	0.052749398	2.203436626	2.396251982	0.034064171	1.338920073	0.218402483	3.640404628	0.361260953	0.213312292	0.068984751	0.239343736	0.085118823	0.392586995	0.322167442
ivig_2899	0.091344417	0.60202587	2.304807746	0.059628296	0.070938404	0.059893871	0.062887441	1.240958729	2.663837042	0.01709939	1.336418479	0.207348926	3.213499749	0.30224044	0.224353094	0.155829047	0.246296775	0.051273109	0.358766967	0.346543427
ivig_3353	0.021052967	0.56765734	1.246596297	0.085301801	0.063475732	0.078881585	0.210547796	1.144059532	1.182369553	0.031528398	1.98160177	0.243891578	1.397835335	0.4043856	0.153559077	0.215491904	0.454129806	0.094538985	0.23758311	0.362081732
uvig_851	0.457671739	0.564942284	8.660052126	0.310648459	0.476050404	0.646352078	0.770505952	0.499079211	0.447668004	0.632674887	0.552617848	4.137229915	0.418658487	0.420551665	0.964261171	0.800784922	0.518622822	0.948548688	0.99713233	0.64110275
uvig_861	0.871799729	0.516628415	1.67455371	0.358840169	0.682732252	1.353253045	1.371894102	0.58851315	1.715639782	0.559536666	0.821640353	2.391646754	4.68997142	1.437022461	1.038180409	2.455138104	1.048386744	0.372842202	0.661396688	0.755987007
uvig_1270	9.26037504	65.48183211	96.0930263	52.28792473	1.937067305	0.251096118	8.106175009	3.166760029	14.80526677	0.182475091	68.1475534	66.96630865	26.08174499	11.72700632	0.870607357	0	0.769270499	0.182385943	6.309034831	24.16103007
uvig_4984	0.522497698	1.56282715	5.295994153	1.806541697	0.171857054	0.019577026	0.696723591	0.24690044	0.978144602	0	38.91599414	1.483248124	3.93519161	5.007431573	0.03111075	0	0	0	0	7.611868289
uvig_8544	0.031727181	3.692025507	0.257048535	0.091414239	0.011595032	0.071325539	1.554305889	9.295241046	0.207322303	0.783978289	0.364491946	0.344370029	0.094323661	10.06074785	0.151128919	0	1.535685067	0.047490623	0.322939673	0
uvig_10847	0.04363749	0.138144551	5.589003239	0.015716366	0.039869449	0.049050489	0.120171551	0.103102037	0.100188051	0.065350417	0.099271556	0.145737145	0	0.088853995	0.285810742	0	0.045916905	0	0.077247037	0
uvig_11105	0.121543077	0.371504657	18.77258275	0.175098568	0.044419197	0	1.197918986	0	0.558105615	0.182019885	0.331800126	0.913320587	0	0.214486282	0.289478507	0.184307969	0.12789191	0	0.107577712	0.122963048
uvig_11819	0.30929869	0.256606513	13.7024111	0.122535842	0.282591152	0.278132441	0.623133626	0.146155634	0.25127468	0.555837615	0.249787963	0.458381358	0	0.138553647	0.257829271	0.515922716	0.097636495	0.138891515	0.301136114	0.093873655
uvig_16065	0.450841824	0.54136838	1.845753077	0.771276649	0.473699054	0.38007477	0.408406384	0	0.437924964	0	4.948648284	4.234744663	9.49403967	7.864176758	0.201331424	0	0	0.50612972	0.199519927	0.456108945
uvig_16314	0.105683704	0.144209556	2.896616085	0.49481602	0	0.019798868	0.666324203	0	0.513279045	0	0.324568872	3.639841618	0.314193495	0.731651288	0.723655669	0	0.166806177	0	0.233851472	0.427673565
uvig_19655	0.491670561	5.004942001	3.941059103	1.549439539	0.224607725	0	1.10457246	0	1.563001974	0	4.669772875	9.92923289	5.603249433	1.485012679	0.219564222	0.186392356	0.129338273	0	0.217588674	5.347207794
uvig_24707	0.390120458	0.204416508	0.511090852	0.281009561	0.427720879	0.350810265	0.361882021	0	0.496071227	1.402163229	0.390495897	5.651304572	0	44.50519519	0.185829568	0.709894573	0.328398797	0.467159399	0.207177244	0.157871272
uvig_25407	0.936429458	8.951864591	1.545032498	3.107628651	0.684455997	0.250616325	0.872524936	1.2642836	0.661527456	0.400678121	53.94216131	2.233868127	4.90508639	3.995081546	0.398265911	0.405714853	0.28152688	0.200241184	1.065642694	0.541354074
uvig_31763	0.066673192	0.232904149	2.505494926	0.864462425	0	0.024981216	0.106299748	0.315056705	1.318809549	0	0.705292508	1.099433216	0.330361294	0.244366095	0.079397594	0.101103253	0.070155882	0.199598659	0.059012406	0.67452125
uvig_32553	0.083483965	0.218720913	8.140469303	0.320718613	0.030510093	0.052133171	0.056467447	0	0.09829346	0.083349004	0.297539577	0.360133912	0.303348887	0.117103384	0.231972205	0.21099186	0.05856318	0.041654142	0.172413762	0.112612395
uvig_33153	0.467056154	0.652612024	0.241532815	0.319606111	0.751038578	0.384994127	0.460326861	0	0.808365909	1.328958152	2.815658922	0.409457572	0.092569305	0.456486077	0.166857777	0.849892954	0.491452946	0.559287952	0.744104068	1.323035571
uvig_35295	2.879469951	19.09085594	11.50748961	13.10085063	1.052332592	0.352288753	2.231547158	0	2.594593317	0.17600908	12.84709487	11.16216353	9.08466629	3.35036175	0.384888787	0.178221605	0.309171405	0.35184618	0.780188969	7.490855285
uvig_38845	0.359343407	0.183059581	1.053038844	0.625530952	0.437752764	0	0.329860516	0	0.169235406	0	3.079157773	2.950264484	4.629359874	4.634034117	0.142641049	0	0.126037933	0.179293607	0	0.969444172
uvig_51406	0.800304886	18.50365092	16.12708105	6.73030473	0.760447588	0.299859487	3.735077751	1.134525351	7.999902886	0.119851666	9.203260197	18.5425289	5.789569051	8.940900135	0.285912289	1.213582633	0.505265404	0.359379336	1.31044643	7.772685444
uvig_55294	0.561378351	1.259062872	3.41334739	2.150508743	0.596833819	0.420676238	0.71010491	1.929258597	0.378551596	0.305711357	9.276300896	11.22778542	14.16083676	13.02407131	0.425419228	0.309554307	0	0.305562001	0.813069287	1.445657448
uvig_55870	0.295903304	0.789085181	0.473642778	0.106571773	0.339871639	0.229658277	0.287963829	0.199751135	0.291158315	0.158263363	0.476016543	0.220588212	0.251345396	10.51816985	0.251696906	0.192303378	0	0.126548834	0.149659345	0.427657571
uvig_58357	0.128996904	0.230427926	2.834134171	2.407430922	0.102858057	0.123028849	1.971663967	0.33248751	0.476351191	0.1053723	0.808340437	1.209216516	0.767005448	0.939213996	0.12568551	0.355656282	0.037018661	0.07021388	0.207591074	0.474559843
uvig_59859	0.208933703	2.242187909	2.842485773	7.194964468	0.088104254	0.03010908	0.13976702	0	0.647161708	0	1.948755847	8.004350667	1.401573029	0.466879563	0.019139088	0	0.067645356	0.048114007	0.270278081	1.593439638
uvig_64107	0.069943977	0.290141546	2.03761822	1.914504048	0.025561762	0	0.740050725	0	0.494109414	0	0.978566873	5.37265134	0.623822077	0.759567281	0.145762051	0.053031537	0.073597518	0	0.123814752	1.132177957
uvig_73872	1.668774197	3.461203862	5.067286915	2.311620851	0.985176375	1.442905217	1.655894017	0.606585054	1.428261037	1.345677125	5.329447213	3.670838758	20.73527205	3.171403873	0.458597389	2.335873685	0.202608811	1.345019691	2.15873782	0.779201653
uvig_74555	0.087428889	0.439024538	0.241135267	0.188928982	0	0	1.292538352	139.4332077	0.401458931	0	0.338118516	0.072997077	0	0.166153287	0	0	0	0	0.077383262	0.176900617
uvig_74768	8.942647315	14.77710061	2.251842383	87.81309727	0.304389738	0	3.011636723	0.41428901	1.006449767	0	3.899220236	0.805209936	5.908030842	0.380839381	0.730836233	0.39884217	0.092252634	0.262465549	0.775993363	1.862642968
uvig_75025	0.092839544	0.138989564	0.800182023	0.191067721	0.058164322	0.069570531	0.10764932	57.03137343	2.033140995	0.079448107	0.398266668	1.15718223	1.577190354	5.289476458	0.307982236	0.020111703	0.935023666	0.039704646	0.04695556	0.053670957
uvig_76269	0.089738855	1.689840161	3.093829029	3.005770716	0.049194013	0.016811747	1.274661615	0.212025459	1.592793235	0	1.893474741	2.144749274	0.755905248	1.699341539	0.093507119	0.068040017	0.094426386	0	0.238283437	1.634170707
uvig_77482	1.270247176	0.246514071	0.243294067	0.508321061	0.928450393	0.740348311	1.35013741	0.666934541	4.038067356	0.634096841	3.676345235	0.530284278	0	0.383178969	0.75633525	1.070112945	0.445532949	1.901361154	1.374138442	1.999024678
uvig_78016	1.314768867	3.54026588	6.289240296	3.867110809	0.800826861	0.574722932	0.889292233	1.035465523	1.238400034	0.32816085	6.754645002	5.19140057	2.822990543	2.573002507	0.521896346	0.664572003	0.230574357	0.984001578	0.969751011	0.665064562
uvig_83342	2.390023225	5.412539502	1.445714477	5.579449373	2.493328807	3.19122796	2.872053868	1.642732693	5.310780376	3.253853851	6.168635289	8.408328752	19.50767643	4.860630236	2.044055232	4.217288292	0.594423032	3.317309455	3.500039129	2.286057588
uvig_86209	0.110809997	0.120963668	0.238767244	0.119727131	0.242980077	0.332147705	0.256972846	0	0.09785021	0.165946291	6.831456509	0.797973662	0	0.195545685	0.230926138	0.336064644	0.174897277	0.290264131	0.147116803	0.224209149
uvig_87564	0.3419778	5.052178605	0.078599981	1.457462493	0.208298975	0.341687406	0.297397608	0.269329637	0.181189065	0.512137433	18.80094756	9.422417912	2.259303444	3.326910055	0	1.037150531	0.359841094	1.194403528	0.504473943	0
uvig_88310	0.59982097	1.427427768	3.80500518	0.777707918	0.745317008	1.213606041	1.07803196	0	0.741536444	1.077932328	0.600398217	0.801294453	2.021010041	1.156207892	0.535721415	1.637223743	0.252461106	0.718270467	0.849441945	0.728194311
uvig_88880	0.23807882	3.664509707	0.38987928	0.793149161	0.282777332	0.312213107	0.293310759	0.140626852	0.252281164	0.445676136	13.86518916	7.106361825	1.179664948	3.700429958	0.460712744	0.812301329	0.062628731	0.98000848	0.447787299	0.602150652
uvig_89263	0.352213151	23.36911501	0.315714625	13.52244262	0.334672005	0.369509769	0.714696919	1.33147506	0.422987269	0	0.801254792	2.676069996	3.420578431	1.004039509	0.167772841	0.320457693	0.148244436	0.527207945	0.498789871	0.570124811
uvig_90482	0.186409615	0.162792465	4.75571492	0.486741852	0.034062678	0.034922123	0.175618382	0	0.518515427	0	0.365756864	2.09140092	0.785100309	0.575672721	0.194237223	0.070667903	0	0.069756502	0.082495525	0.141440559
uvig_92124	1.216651787	10.50702548	8.202613373	4.722673247	0.098808488	0.253253886	0.450650577	0.638794651	2.411337379	0	8.641620328	6.489961832	1.741546405	2.367224462	0.64393181	0	0.071122438	0	1.076857839	3.419071547
uvig_92258	2.825263316	8.329585096	9.679948133	5.568859956	1.632825816	1.961234148	1.644323588	0.620951889	1.361522113	1.508744355	1.524599311	1.865176354	2.561056368	0.957306555	1.356215373	1.92624311	1.013992496	2.163662582	1.95786467	2.30434208
uvig_92540	1.384559711	1.260595934	2.718466013	0.781586819	1.291919784	1.593099125	21.38858582	1.392038715	1.508775578	1.529376889	1.371595404	1.30358757	1.206652376	1.564900088	1.198595222	1.861300419	0.640615012	1.587423158	1.08641228	0.635794758
uvig_93945	0.291592017	7.461209587	0.160846419	0.294053285	0	0.131104984	0.101432044	4.960387585	0.144193763	0	1.087888911	0.438226507	10.05594254	0.221661158	0	0	0.490917435	0	0	0.471997831
